,0
0,1.8011919780001142
1,-0.6565228798719515
2,-0.2885733811213073
3,-0.4814995625590188
4,-1.3672672732562994
5,0.4383386627972436
6,-0.22416645378616387
7,-0.4557251816678414
8,-1.1784853253553815
9,1.3453775504718206
10,-0.4999832561165964
11,-1.5080564198275186
12,0.29448914710800356
13,-0.20965687281719472
14,-0.9862170328977353
15,-0.538442443876008
16,0.009401368292296756
17,-0.39542210340544537
18,0.25488624595112197
19,0.10071049521099024
20,-0.9748650210918606
21,-0.11707891140649797
22,-0.18174464567770093
23,0.025795196825618625
24,-1.3906491551995603
25,-1.443773157255021
26,-0.20929904838026028
27,-1.9124140642926128
28,0.7579015976940305
29,-0.6324008806446001
30,-1.2820027119048878
31,-0.5295187243565389
32,-0.4903666230140608
33,1.2033441354456047
34,-2.578433515676233
35,1.3594109265607428
36,1.1696843207450405
37,-0.5667060563846318
38,1.4967721921493262
39,0.8135767767011847
40,-0.41297711852644325
41,0.47608656953220924
42,-0.7999594352091424
43,0.6634836090812496
44,-0.5228731940363127
45,2.5363004461001473
46,-0.5679984132406709
47,-0.7320854677912182
48,-0.8178072813664842
49,0.5401256860225397
50,-0.3965139708704186
51,0.65484919333751
52,-0.47723661277310675
53,0.22120356470514507
54,-1.119956205762248
55,0.7143664734799459
56,0.47575821478983626
57,-0.2157073082135806
58,0.24742677735792207
59,0.5533589274995966
60,-0.36293410394051123
61,-0.2640458029945107
62,0.40745672031678354
63,-0.4344126917498959
64,-0.4000747609154113
65,-0.20307681557421925
66,-1.6361760678753594
67,-0.8379448639983758
68,0.3988473315460375
69,2.0316712806577772
70,0.5618182861008983
71,-0.004652168521560578
72,0.0008858674747235697
73,-0.35745126881902073
74,-1.1794722876761339
75,-0.49931693420314555
76,0.9526387402344776
77,-1.406709717824858
78,-0.8602398072816296
79,1.0001032616842231
80,0.34628465360830807
81,-1.4795261366253731
82,-0.27375927465129396
83,-1.0739445466687616
84,-0.30271106802681325
85,-0.01406576309783585
86,-2.5462475546183416
87,1.5831699165028437
88,-0.8360664391239678
89,-0.5303197362648577
90,-2.0035830818160174
91,-1.6994148694018973
92,0.34388538979178634
93,-0.1689411789042431
94,-0.10939447289791644
95,-1.1139565419675679
96,1.1308771848741295
97,0.9230490638108684
98,-1.8261087651572472
99,-0.41635372361719997
100,-0.4909476577086919
101,2.4879018456302084
102,-0.11317777121282997
103,-0.14099473335645368
104,0.2259900961393625
105,0.22040589057423285
106,-2.679162239016408
107,-0.4195985604453448
108,-0.6910917567258518
109,-0.004540475596793964
110,0.5536441708116353
111,-0.03697494766222544
112,-0.9103921750469196
113,-0.05585670465574384
114,-0.45885591092200384
115,0.7142213395862285
116,-0.9269849609895535
117,-1.4307201193140817
118,1.379532342060376
119,0.7338264031089171
120,-0.3095888777731029
121,-0.8295550878962954
122,0.6518427315143542
123,1.0772637255385245
124,-0.21862295314765157
125,-0.2566723465223525
126,-1.1305474807581182
127,-0.10951415874783674
128,0.7055714373940256
129,-0.5486927764632159
130,-0.5777442410519932
131,-0.6859464877770429
132,-0.5227843592381584
133,-0.33831717939396566
134,0.14331114940193138
135,-0.47167124071465505
136,-1.1089118357301
137,0.3362950156619498
138,0.26429378193777336
139,-0.28500983473089686
140,-0.06792554465289785
141,-1.0572966439928135
142,0.02479121704211953
143,-0.6630005162025615
144,1.9840969341669619
145,-1.607866911582111
146,-1.5714583017581967
147,0.3443483928051472
148,-1.1423281932044638
149,1.3083976336047236
